PRIORITY_TAC;LAUNCH;PRICE
382069703;2018-07-04;78000.0
-14085787;2018-07-04;78000.0
-2038952254;2018-07-04;78000.0
-1620847992;2018-07-04;78000.0
2115274998;2018-07-04;78000.0
-1426809089;2018-07-04;78000.0
-1091108526;2018-07-04;78000.0
1939402390;2018-07-04;78000.0
1715784669;2018-07-04;78000.0
74431578;2018-07-04;78000.0
-1463445432;2018-07-04;78000.0
290472356;2018-07-04;78000.0
1013383805;2018-07-04;78000.0
-1350958004;2018-07-04;78000.0
-1911610580;2018-07-04;78000.0
25875249;2018-07-04;78000.0
458227076;2018-07-04;78000.0
-978417008;2018-06-24;89700.0
-288316084;2018-06-24;89700.0
606933509;2018-06-24;89700.0
2058943872;2018-06-24;89700.0
1248248529;2018-06-24;89700.0
-1241225754;2018-06-24;89700.0
-1258113931;2018-06-24;89700.0
406849131;2018-06-24;89700.0
-1242738072;2018-06-24;89700.0
-2082641945;2018-06-24;89700.0
-580212498;2018-09-06;69500.0
633792458;2018-09-06;69500.0
1635658139;2017-08-16;80000.0
330994686;2018-09-06;69500.0
-1738115720;2018-09-06;69500.0
-898994888;2018-09-06;69500.0
874888078;2018-09-06;69500.0
-1379710535;2018-09-06;69500.0
1347830316;2018-09-06;69500.0
1356445387;2018-09-06;69500.0
572063421;2017-08-16;80000.0
-266412443;2018-09-06;69500.0
261001470;2018-09-06;69500.0
-1619101523;2018-09-06;69500.0
1384200242;2018-09-06;69500.0
1590961000;2018-09-06;69500.0
-2120219375;2018-09-06;69500.0
926885760;2018-09-06;69500.0
463608385;2018-09-06;69500.0
84543509;2018-09-06;69500.0
-89220421;2018-09-06;69500.0
-368648110;2018-09-06;69500.0
1691171562;2018-09-06;69500.0
-1399949752;2018-09-06;69500.0
-1469509086;2018-09-06;69500.0
1505116013;2018-09-06;69500.0
-1625040073;2018-09-06;69500.0
1739505630;2018-09-06;69500.0
1950013024;2018-09-06;69500.0
692935806;2018-09-06;69500.0
483936181;2018-09-06;69500.0
-141619187;2017-07-17;93100.0
665481993;2017-07-17;93100.0
-1306808168;2017-07-12;89700.0
1779565980;2017-07-12;89700.0
-1924582158;2017-07-17;93100.0
-789043111;2017-07-12;89700.0
1258553862;2017-07-12;89700.0
-92655714;2017-07-12;89700.0
-1581877341;2017-07-12;89700.0
-145189468;2017-07-12;89700.0
1093698649;2017-07-12;89700.0
-1787741337;2017-07-12;89700.0
1583631086;2017-07-17;93100.0
-435165622;2017-07-17;93100.0
-1205432461;2017-07-17;93100.0
1593084338;2017-07-17;93100.0
1095984052;2017-07-17;93100.0
742969576;2017-07-17;93100.0
-2008924559;2017-07-17;93100.0
198730373;2017-07-17;93100.0
-969100560;2017-07-17;93100.0
-346115973;2017-07-12;89700.0
-160584613;2017-07-12;89700.0
-467688189;2017-07-17;93100.0
-1413571992;2017-07-17;93100.0
-1364624160;2017-07-17;93100.0
-1359066646;2018-05-01;99300.0
631257338;2018-05-01;99300.0
-2073530381;2018-05-01;99300.0
-1561393986;2018-05-01;99300.0
-945919064;2018-05-01;99300.0
1880115623;2018-05-01;99300.0
-1533794072;2018-05-01;99300.0
840939213;2018-06-25;99300.0
678200313;2018-06-25;99300.0
651452823;2018-06-25;99300.0
-627122454;2018-01-09;28000.0
-1518116826;2012-03-21;13200.0
1125541753;2017-11-10;6700.0
-220659337;2013-12-23;18300.0
-988744232;2017-07-04;8300.0
-482473094;2012-03-21;7700.0
1586209471;2017-09-14;22000.0
1995039381;2014-12-23;8000.0
993225122;2008-06-06;22000.0
1554143973;2008-11-24;8800.0
-1393723659;2017-11-10;10800.0
410164538;2018-01-24;7800.0
-995821265;2018-02-06;9300.0
-1654304584;2012-03-21;13200.0
-1750351350;2017-07-04;8300.0
-2043194477;2017-11-10;6500.0
-1389520127;2018-01-24;7800.0
-1249798815;2018-02-12;8000.0
776134061;2012-03-21;22000.0
-279787588;2016-04-28;29400.0
-604108293;2016-04-28;29400.0
1675479032;2016-08-30;26500.0
-1182847112;2016-08-04;29400.0
-1651911179;2016-08-04;29400.0
-2032558334;2013-10-29;35000.0
1301537828;2016-08-04;29400.0
2032300616;2015-06-30;23800.0
1066449133;2015-06-30;23800.0
-878874968;2015-06-30;23800.0
587238461;2015-06-30;23800.0
2124793424;2015-06-30;23800.0
-196380610;2015-06-30;23800.0
175894531;2017-06-16;3900.0
137825481;2017-06-16;3900.0
-1026954342;2017-06-16;3900.0
1157564661;2017-06-16;3900.0
-1251981760;2017-06-16;3900.0
-924503880;2017-06-16;3900.0
1811960544;2017-06-16;3900.0
2058182841;2017-06-16;3900.0
-1052852074;2017-06-16;3900.0
105213618;2017-06-16;3900.0
-1426053585;2017-06-16;3900.0
899305415;2017-06-16;3900.0
-2080560101;2017-06-16;3900.0
976395969;2012-03-06;30400.0
897980494;2012-03-06;30400.0
-1953006136;2017-06-16;3900.0
511096533;2017-06-16;3900.0
1615139276;2017-06-16;3900.0
374017393;2017-06-16;3900.0
602422831;2017-06-16;3900.0
419453153;2012-03-06;30400.0
-1565272421;2012-03-06;30400.0
446596265;2018-03-07;87100.0
